condition,Q1.2,Q2.2,Q2.3,Q2.4,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q8_6,Q8_7,Q8_8,Q8_9,Q217_1,Q217_2,Q217_3,Q217_4,Q217_5,Q217_6,Q217_7,Q217_8,Q218_1,Q218_2,Q218_3,Q218_4,Q218_5,Q218_6,Q219_1,Q219_2,Attentiveness,Sympathy,Empathy,Warmth,Excitement,Enthusiasm,Positivity,Friendliness,Connection,Coordination,Focus,Engagement,Respect,Liking_each_other,Closeness,Equal_participation,Getting_along,Smooth_flow,rapport_connection_factor_score,rapport_coordination_factor_score,rapport_score,perceived_robot_responsiveness
1,25,1,1,1,5,5,5,5,5,5,5,5,5,7,7,7,7,7,7,7,7,1,1,3,1,4,3,3,2,5,5,5,5,4,5,5,5,5,3,5,5,5,1,5,2,4,5,4.5,4.166666666666667,4.333333333333334,5
1,26,1,1,1,4,3,2,4,3,2,4,4,4,5,5,5,3,4,5,3,4,1,1,3,1,5,1,2,4,4,3,4,3,2,1,4,4,2,2,4,3,4,3,3,1,4,2,3.0833333333333335,2.6666666666666665,2.875,3.333333333
2,27,1,1,1,2,1,2,1,1,1,1,3,1,4,5,5,4,5,4,5,3,1,1,5,1,5,1,2,2,4,2,2,2,2,3,2,2,2,3,4,4,2,2,2,4,1,2,2,3.5,2.75,1.444444444
2,28,1,1,2,3,3,1,2,3,1,1,1,1,7,1,5,1,2,1,4,1,1,1,4,1,1,1,1,1,3,1,1,1,2,2,5,2,1,5,3,3,3,3,1,1,3,5,2.0833333333333335,3.3333333333333335,2.7083333333333335,1.777777778
1,29,1,1,1,5,5,5,3,4,3,5,2,5,6,6,7,6,5,3,6,4,3,1,4,1,2,3,1,1,5,5,5,4,3,5,4,4,4,4,5,3,5,3,4,5,4,3,4.166666666666667,4.166666666666667,4.166666666666667,4.111111111
1,30,1,1,1,5,5,5,5,5,5,5,5,5,6,5,7,6,6,5,6,6,1,1,4,1,3,3,1,1,4,5,5,4,3,3,4,4,4,3,4,4,5,4,4,3,4,4,4.083333333333333,3.6666666666666665,3.875,5
2,31,1,1,1,2,1,1,1,1,1,1,1,1,6,1,1,1,3,1,3,4,2,1,2,1,1,2,1,1,3,1,1,1,3,1,1,2,1,5,4,2,3,1,1,1,3,3,1.5833333333333333,3,2.2916666666666665,1.111111111
1,32,1,1,1,5,5,4,5,4,4,5,2,5,5,5,5,5,5,5,5,5,4,4,4,4,7,5,5,5,4,5,4,4,2,3,3,4,5,5,5,5,5,3,4,3,4,5,3.8333333333333335,4.5,4.166666666666667,4.333333333
2,33,1,1,1,1,4,2,3,3,1,1,1,2,4,1,5,3,3,2,2,3,2,1,2,1,3,2,1,2,1,1,1,1,2,1,4,4,1,4,4,1,4,4,2,4,3,4,2.3333333333333335,3,2.666666666666667,2
2,34,1,1,1,1,3,1,1,1,3,3,1,1,3,1,3,1,3,3,3,3,3,1,4,1,1,2,2,2,2,1,1,1,1,2,1,1,2,2,3,2,2,1,1,3,1,1,1.25,2.1666666666666665,1.7083333333333333,1.666666667
2,35,1,1,2,4,4,2,2,2,2,2,2,2,5,4,4,3,5,3,5,4,1,1,4,1,4,4,1,1,4,3,2,3,3,3,3,3,2,3,4,4,3,3,2,4,3,4,2.75,3.8333333333333335,3.291666666666667,2.444444444
1,36,1,1,1,5,4,5,4,4,5,5,2,5,6,5,7,5,4,2,5,5,1,1,3,1,3,2,1,3,5,5,4,5,3,4,4,5,3,5,5,5,5,3,3,2,4,5,4,4.5,4.25,4.333333333
1,37,1,1,1,5,4,3,3,4,4,3,4,5,5,5,6,6,6,4,6,5,3,1,5,1,4,5,4,2,3,3,4,4,2,2,5,4,2,4,3,2,4,3,4,2,4,5,3.4166666666666665,3.1666666666666665,3.2916666666666665,3.888888889
2,38,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,3,1,3,1,1,1,1,4,1.1666666666666667,2.5,1.8333333333333335,1.111111111
1,39,1,1,1,5,4,4,5,4,3,3,5,4,5,6,6,4,4,5,5,4,2,1,5,1,6,3,1,1,4,4,4,2,3,3,4,5,4,3,4,4,4,4,3,2,4,4,3.6666666666666665,3.5,3.583333333333333,4.111111111
2,40,1,2,2,2,2,2,2,1,1,2,2,2,4,2,3,2,4,3,4,2,2,1,5,1,5,3,2,1,4,1,1,2,1,1,2,2,3,4,4,2,3,1,3,2,1,4,1.75,3.3333333333333335,2.541666666666667,1.777777778
1,41,1,2,2,4,3,3,4,3,3,4,4,4,4,5,5,5,4,5,4,4,4,1,4,1,5,3,3,4,4,5,4,3,3,4,5,4,4,3,4,3,4,4,3,3,4,3,3.9166666666666665,3.3333333333333335,3.625,3.555555556
2,42,1,1,1,3,3,1,1,1,3,1,2,1,3,2,3,2,2,3,3,2,1,1,3,1,1,1,1,1,4,1,1,1,2,2,1,4,1,4,4,2,3,2,1,2,2,4,1.75,3.3333333333333335,2.541666666666667,1.777777778
2,43,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,3,2,3,3,3,1,1,1,4,1.6666666666666667,2.3333333333333335,2,1.111111111
1,44,1,1,1,3,4,2,4,2,2,3,2,4,5,3,5,3,4,3,5,3,1,1,4,1,6,3,1,1,4,2,2,2,4,3,4,3,3,4,4,4,3,2,2,3,3,4,2.75,3.8333333333333335,3.291666666666667,2.888888889
1,45,1,1,2,5,4,2,2,2,2,3,3,3,4,5,4,2,1,2,3,2,2,1,4,1,3,3,1,1,3,4,1,3,1,2,4,4,2,3,5,4,4,3,1,3,3,4,2.6666666666666665,3.6666666666666665,3.1666666666666665,2.888888889
